4FGL-v30,delta,ts,r95,glat,glon,eflux100,nbb,class1,variability,pindex,curvature,e0,sin_b,uw_name,bb_var,association,category
4FGL J1716.7-2808,0.017068927068256357,485.8841038323008,0.032213669439477385,5.748642589209677,357.16465858575253,1.1465562630296938e-11,2,glc,20.303316116333008,2.31270542,0.31365074535268933,1738.569124844293,0.10016448949864976,J1716.6-2809,10.25727991511178,other,
4FGL J1716.8+4310,0.00608403974643768,85.5858235330088,0.07066048878376924,34.914699612571475,68.38095325319566,1.2978521170731742e-12,8,glc,10.63885498046875,2.39892188,0.35785673832280374,1650.028589244839,0.5723562700215512,J1716.8+4310,280.76191969913316,other,
4FGL J1716.9-4152,0.10208909770699627,82.39373386278749,0.1607524256144177,-2.220824236936234,346.0942181733075,9.567507272174458e-12,1,,8.829916000366211,2.53395571,0.08432422075513868,2354.8661407287354,-0.03875099014868444,J1717.2-4147,0.0006134584546089172,unid,unid
4FGL J1717.0-3218,0.16029957783211554,46.0673301666975,0.10073452664697205,3.1326688913924823,353.803515355952,3.5788874693188877e-12,1,,11.464055061340332,2.38707211,0.2690490036142079,2866.9076233374217,0.05464814952015704,J1717.6-3224,0.00305752747135557,unid,unid
4FGL J1717.3-6045,0.027941505450899115,115.27722310042007,0.05604185979188118,-12.957891198008541,330.2711236630052,1.8813364759365027e-12,1,bcu,11.059547424316406,2.17629593,0.5823123476838443,2149.2181874779258,-0.22423489281161402,J1717.1-6046,5.1167793571949005e-05,bcu,bcu
4FGL J1717.5-5804,0.005478695600031518,261.60101629421115,0.039054742195634054,-11.509846504280741,332.60137688725024,2.971828521142121e-12,1,,10.324236869812012,2.06945626,0.9884617271088136,2574.38604186329,-0.19953633537363935,J1717.5-5804,0.0017224065959453583,unid,unid
4FGL J1717.5-8114,0.012962325493020314,142.68062795093283,0.040378394245916466,-23.358486527808125,311.6936340097031,2.8424698354727698e-12,1,bll,13.638195037841797,1.9916827,0.07227125520230526,3098.70422093584,-0.39648283029492065,J1717.3-8113,0.000540638342499733,bll,bll
4FGL J1717.5-4022,0.023569587531449714,43.70089904312045,0.08735944421391469,-1.4812385764993972,347.2814814299542,2.578522590845856e-12,2,,6.7418532371521,2.35689561,1.0001777445955762,3921.209689169146,-0.02584961050635737,J1717.6-4023,3.254384778983084,unid,unid
4FGL J1717.5-3342,0.0008499426616235551,580.5930841006339,0.0336461436938243,2.3951415782010397,352.7365657617279,2.5976986376208068e-11,16,bll,227.5069580078125,2.53497123,0.13739092999695002,1839.107325340192,0.04179093250193251,J1717.5-3341,727.8047387612794,bll,bll
4FGL J1717.6-4404,0.03662435328668568,110.11878629028796,0.08552029216185979,-3.6276750859565707,344.2433001675577,5.853062052709139e-12,1,,21.785152435302734,2.5760925,0.452144733165194,2192.5810492971978,-0.06327258042412666,J1717.7-4406,0.006955467164516449,unid,unid
